	sequences per sample	iteration	515rcbc12	515rcbc21	515rcbc17	515rcbc34	515rcbc33	515rcbc31	515rcbc20	515rcbc15	515rcbc26	515rcbc22	515rcbc37	515rcbc24	515rcbc18	515rcbc35	515rcbc11	515rcbc27	515rcbc30	515rcbc13	515rcbc9	515rcbc28	515rcbc23	515rcbc32	515rcbc16	515rcbc19	515rcbc29	515rcbc14	515rcbc10	515rcbc8	515rcbc25	515rcbc36
alpha_rarefaction_305_2.txt	305	2	23.70348	23.3984	21.55081	21.79529	18.89663	20.98417	21.2338	21.37802	22.31515	21.81171	23.62274	21.91515	22.17682	19.70343	22.71203	23.01862	22.5619	21.79361	21.41162	22.45713	23.30492	21.64238	21.35249	21.74321	22.78408	21.52646	21.46075	22.14692	20.28399	18.40302
alpha_rarefaction_305_3.txt	305	3	22.00578	24.96617	22.95364	20.43459	20.63225	20.94289	21.16905	21.74654	21.31088	21.15017	21.41031	20.69743	22.72883	21.12032	21.85457	21.71464	20.39658	22.58977	20.59236	24.50557	23.34552	20.45783	21.845	22.66154	22.51398	22.41797	22.97075	22.61674	20.85976	21.22003
alpha_rarefaction_305_4.txt	305	4	23.23479	21.42237	22.67284	20.52716	22.23321	23.29826	20.34667	20.61125	21.67848	23.01372	23.29241	20.69394	21.65427	21.2379	22.1425	22.92563	21.25038	22.86613	20.97273	23.64442	22.96398	20.57436	23.57303	23.60804	21.10916	22.29015	23.09915	22.70095	20.11522	19.88231
alpha_rarefaction_305_5.txt	305	5	22.34376	23.09142	20.82285	22.97992	21.0896	22.74836	22.92032	21.16084	20.36271	22.78349	21.56119	21.34261	24.05573	19.50073	23.05397	21.3724	22.39277	23.88581	22.31556	23.87211	22.55961	20.66475	22.23545	24.49567	22.7876	22.11888	21.51283	22.86973	20.48691	20.48294
alpha_rarefaction_305_6.txt	305	6	23.12833	21.59064	19.48775	20.40809	21.05102	22.63613	21.67989	21.58143	20.32036	22.30839	23.45937	23.06341	21.69767	20.50956	22.11826	23.23182	20.54407	23.3632	21.89533	22.51541	23.49789	21.60084	23.861	22.96533	21.95375	22.47139	22.44903	23.50367	22.6667	20.54429
alpha_rarefaction_305_7.txt	305	7	22.68933	24.36907	22.63378	23.98653	22.47791	21.26217	21.67245	21.46461	21.12116	22.49698	22.65297	21.91255	22.80355	20.10689	23.45093	23.19174	22.51273	23.11919	22.66176	23.3431	23.02865	18.86393	21.18558	23.26565	23.25703	22.16825	21.74014	22.39295	20.49395	19.40443
alpha_rarefaction_305_8.txt	305	8	23.73371	21.68374	22.55575	21.9878	23.02819	21.7736	21.41501	22.1594	20.60432	22.30188	23.89425	22.63006	21.71268	19.22316	22.70928	23.76189	21.71872	23.46554	24.52549	22.97001	21.24462	21.59202	22.25578	23.84838	24.37499	22.44602	21.63351	22.88063	22.44608	20.5562
alpha_rarefaction_305_9.txt	305	9	22.71525	23.42876	21.0351	22.93247	21.41943	22.67969	21.61451	20.70853	20.45867	22.74966	21.35312	23.37666	22.8875	19.88308	21.71699	23.82579	21.22746	22.7997	23.93572	23.92628	23.15195	22.53893	22.07514	24.18814	23.25468	24.52678	21.60906	22.174	21.57943	20.38687
alpha_rarefaction_364_0.txt	364	0	24.3878	25.40782	22.47169	22.46934	23.76289	25.54942	23.81677	22.89219	24.408	24.19204	24.63262	24.48816	23.68776	21.0522	23.42898	25.15294	22.8795	25.75833	24.60937	25.81336	26.98658	22.69433	23.46321	24.88678	24.39772	25.63537	23.75527	25.08122	22.26921	22.41029
alpha_rarefaction_364_1.txt	364	1	26.59243	25.20108	22.37355	25.0567	22.20125	22.52666	23.90452	23.50606	23.10564	24.8443	24.91112	24.97495	25.91574	22.61101	24.22586	25.88992	23.57264	23.99937	24.922	24.13258	25.87916	23.91012	24.16737	26.51389	25.14722	24.76481	24.97622	25.23167	23.53899	20.65493
alpha_rarefaction_364_2.txt	364	2	26.22396	23.8577	22.80585	23.81426	23.10795	24.08886	23.22362	23.6654	23.72798	24.6054	24.56518	23.9714	25.41814	23.47426	25.13613	23.77497	21.69524	25.48588	24.56468	22.99129	25.14894	22.38806	23.80046	25.95382	24.80577	24.41285	25.06759	22.52809	23.2328	21.87396
